Original Integer     irradix Representation         Interpreted as Binary          isPrime    Prime Comparison     Binary Expansion (%)
617                  1000000100000                  4128                           False      2                    130.00              
618                  1000000100001                  4129                           True       1                    130.00              
619                  1000000100100                  4132                           False      2                    130.00              
620                  1000000100110                  4134                           False      0                    130.00              
621                  1000000100111                  4135                           False      0                    130.00              
622                  1000000110000                  4144                           False      0                    130.00              
623                  1000000110010                  4146                           False      0                    130.00              
624                  1000000110011                  4147                           False      0                    130.00              
625                  1000000111000                  4152                           False      0                    130.00              
626                  1000000111001                  4153                           True       1                    130.00              
627                  1000000111100                  4156                           False      0                    130.00              
628                  1000000111110                  4158                           False      0                    130.00              
629                  1000000111111                  4159                           True       1                    130.00              
630                  1000010000000                  4224                           False      0                    130.00              
631                  1000010000001                  4225                           False      2                    130.00              
632                  1000010000100                  4228                           False      0                    130.00              
633                  1000010000110                  4230                           False      0                    130.00              
634                  1000010000111                  4231                           True       1                    130.00              
635                  1000010010000                  4240                           False      0                    130.00              
636                  1000010010010                  4242                           False      0                    130.00              
637                  1000010010011                  4243                           True       1                    130.00              
638                  1000010011000                  4248                           False      0                    130.00              
639                  1000010011001                  4249                           False      0                    130.00              
640                  1000010011100                  4252                           False      0                    130.00              
641                  1000010011110                  4254                           False      2                    130.00              
642                  1000010011111                  4255                           False      0                    130.00              
643                  1000011000000                  4288                           False      2                    130.00              
644                  1000011000010                  4290                           False      0                    130.00              
645                  1000011000011                  4291                           False      0                    130.00              
646                  1000011001000                  4296                           False      0                    130.00              
647                  1000011001001                  4297                           True       3                    130.00              
648                  1000011001100                  4300                           False      0                    130.00              
649                  1000011001110                  4302                           False      0                    130.00              
650                  1000011001111                  4303                           False      0                    130.00              
651                  1000011100000                  4320                           False      0                    130.00              
652                  1000011100001                  4321                           False      0                    130.00              
653                  1000011100100                  4324                           False      2                    130.00              
654                  1000011100110                  4326                           False      0                    130.00              
655                  1000011100111                  4327                           True       1                    130.00              
656                  1000011110000                  4336                           False      0                    130.00              
657                  1000011110010                  4338                           False      0                    130.00              
658                  1000011110011                  4339                           True       1                    130.00              
659                  1000011111000                  4344                           False      2                    130.00              
660                  1000011111001                  4345                           False      0                    130.00              
661                  1000011111100                  4348                           False      2                    130.00              
662                  1000011111110                  4350                           False      0                    130.00              
663                  1000011111111                  4351                           False      0                    130.00              
664                  1001000000000                  4608                           False      0                    130.00              
665                  1001000000001                  4609                           False      0                    130.00              
666                  1001000000100                  4612                           False      0                    130.00              
667                  1001000000110                  4614                           False      0                    130.00              
668                  1001000000111                  4615                           False      0                    130.00              
669                  1001000010000                  4624                           False      0                    130.00              
670                  1001000010010                  4626                           False      0                    130.00              
671                  1001000010011                  4627                           False      0                    130.00              
672                  1001000011000                  4632                           False      0                    130.00              
673                  1001000011001                  4633                           False      2                    130.00              
674                  1001000011100                  4636                           False      0                    130.00              
675                  1001000011110                  4638                           False      0                    130.00              
676                  1001000011111                  4639                           True       1                    130.00              
677                  1001001000000                  4672                           False      2                    130.00              
678                  1001001000010                  4674                           False      0                    130.00              
679                  1001001000011                  4675                           False      0                    130.00              
680                  1001001001000                  4680                           False      0                    130.00              
681                  1001001001001                  4681                           False      0                    130.00              
682                  1001001001100                  4684                           False      0                    130.00              
683                  1001001001110                  4686                           False      2                    130.00              
684                  1001001001111                  4687                           False      0                    130.00              
685                  1001001100000                  4704                           False      0                    130.00              
686                  1001001100001                  4705                           False      0                    130.00              
687                  1001001100100                  4708                           False      0                    130.00              
688                  1001001100110                  4710                           False      0                    130.00              
689                  1001001100111                  4711                           False      0                    130.00              
690                  1001001110000                  4720                           False      0                    130.00              
691                  1001001110010                  4722                           False      2                    130.00              
692                  1001001110011                  4723                           True       1                    130.00              
693                  1001001111000                  4728                           False      0                    130.00              
694                  1001001111001                  4729                           True       1                    130.00              
695                  1001001111100                  4732                           False      0                    130.00              
696                  1001001111110                  4734                           False      0                    130.00              
697                  1001001111111                  4735                           False      0                    130.00              
698                  1001100000000                  4864                           False      0                    130.00              
699                  1001100000010                  4866                           False      0                    130.00              
700                  1001100000011                  4867                           False      0                    130.00              
701                  1001100001000                  4872                           False      2                    130.00              
702                  1001100001001                  4873                           False      0                    130.00              
703                  1001100001100                  4876                           False      0                    130.00              
704                  1001100001110                  4878                           False      0                    130.00              
705                  1001100001111                  4879                           False      0                    130.00              
706                  1001100100000                  4896                           False      0                    130.00              
707                  1001100100001                  4897                           False      0                    130.00              
708                  1001100100100                  4900                           False      0                    130.00              
709                  1001100100110                  4902                           False      2                    130.00              
710                  1001100100111                  4903                           True       1                    130.00              
711                  1001100110000                  4912                           False      0                    130.00              
712                  1001100110010                  4914                           False      0                    130.00              
713                  1001100110011                  4915                           False      0                    130.00              
714                  1001100111000                  4920                           False      0                    130.00              
715                  1001100111001                  4921                           False      0                    130.00              
716                  1001100111100                  4924                           False      0                    130.00              
717                  1001100111110                  4926                           False      0                    130.00              
718                  1001100111111                  4927                           False      0                    130.00              
719                  1001110000000                  4992                           False      2                    130.00              
720                  1001110000001                  4993                           True       1                    130.00              
721                  1001110000100                  4996                           False      0                    130.00              
722                  1001110000110                  4998                           False      0                    130.00              
723                  1001110000111                  4999                           True       1                    130.00              
724                  1001110010000                  5008                           False      0                    130.00              
725                  1001110010010                  5010                           False      0                    130.00              
726                  1001110010011                  5011                           True       1                    130.00              
727                  1001110011000                  5016                           False      2                    130.00              
728                  1001110011001                  5017                           False      0                    130.00              
729                  1001110011100                  5020                           False      0                    130.00              
730                  1001110011110                  5022                           False      0                    130.00              
731                  1001110011111                  5023                           True       1                    130.00              
732                  1001111000000                  5056                           False      0                    130.00              
733                  1001111000010                  5058                           False      2                    130.00              
734                  1001111000011                  5059                           True       1                    130.00              
735                  1001111001000                  5064                           False      0                    130.00              
736                  1001111001001                  5065                           False      0                    130.00              
737                  1001111001100                  5068                           False      0                    130.00              
738                  1001111001110                  5070                           False      0                    130.00              
739                  1001111001111                  5071                           False      2                    130.00              
740                  1001111100000                  5088                           False      0                    130.00              
741                  1001111100001                  5089                           False      0                    130.00              
742                  1001111100100                  5092                           False      0                    130.00              
743                  1001111100110                  5094                           False      2                    130.00              
744                  1001111100111                  5095                           False      0                    130.00              
745                  1001111110000                  5104                           False      0                    130.00              
746                  1001111110010                  5106                           False      0                    130.00              
747                  1001111110011                  5107                           True       1                    130.00              
748                  1001111111000                  5112                           False      0                    130.00              
749                  1001111111001                  5113                           True       1                    130.00              
750                  1001111111100                  5116                           False      0                    130.00              
751                  1001111111110                  5118                           False      2                    130.00              
752                  1001111111111                  5119                           True       1                    130.00              
753                  1100000000000                  6144                           False      0                    130.00              
754                  1100000000001                  6145                           False      0                    130.00              
755                  1100000000100                  6148                           False      0                    130.00              
756                  1100000000110                  6150                           False      0                    130.00              
757                  1100000000111                  6151                           True       3                    130.00              
758                  1100000010000                  6160                           False      0                    130.00              
759                  1100000010010                  6162                           False      0                    130.00              
760                  1100000010011                  6163                           True       1                    130.00              
761                  1100000011000                  6168                           False      2                    130.00              
762                  1100000011001                  6169                           False      0                    130.00              
763                  1100000011100                  6172                           False      0                    130.00              
764                  1100000011110                  6174                           False      0                    130.00              
765                  1100000011111                  6175                           False      0                    130.00              
766                  1100001000000                  6208                           False      0                    130.00              
767                  1100001000010                  6210                           False      0                    130.00              
768                  1100001000011                  6211                           True       1                    130.00              
769                  1100001001000                  6216                           False      2                    130.00              
770                  1100001001001                  6217                           True       1                    130.00              
771                  1100001001100                  6220                           False      0                    130.00              
772                  1100001001110                  6222                           False      0                    130.00              
773                  1100001001111                  6223                           False      2                    130.00              
774                  1100001100000                  6240                           False      0                    130.00              
775                  1100001100001                  6241                           False      0                    130.00              
776                  1100001100100                  6244                           False      0                    130.00              
777                  1100001100110                  6246                           False      0                    130.00              
778                  1100001100111                  6247                           True       1                    130.00              
779                  1100001110000                  6256                           False      0                    130.00              
780                  1100001110010                  6258                           False      0                    130.00              
781                  1100001110011                  6259                           False      0                    130.00              
782                  1100001111000                  6264                           False      0                    130.00              
783                  1100001111001                  6265                           False      0                    130.00              
784                  1100001111100                  6268                           False      0                    130.00              
785                  1100001111110                  6270                           False      0                    130.00              
786                  1100001111111                  6271                           True       1                    130.00              
787                  1100100000000                  6400                           False      2                    130.00              
788                  1100100000010                  6402                           False      0                    130.00              
789                  1100100000011                  6403                           False      0                    130.00              
790                  1100100001000                  6408                           False      0                    130.00              
791                  1100100001001                  6409                           False      0                    130.00              
792                  1100100001100                  6412                           False      0                    130.00              
793                  1100100001110                  6414                           False      0                    130.00              
794                  1100100001111                  6415                           False      0                    130.00              
795                  1100100100000                  6432                           False      0                    130.00              
796                  1100100100001                  6433                           False      0                    130.00              
797                  1100100100100                  6436                           False      2                    130.00              
798                  1100100100110                  6438                           False      0                    130.00              
799                  1100100100111                  6439                           False      0                    130.00              
800                  1100100110000                  6448                           False      0                    130.00              
801                  1100100110010                  6450                           False      0                    130.00              
802                  1100100110011                  6451                           True       1                    130.00              
803                  1100100111000                  6456                           False      0                    130.00              
804                  1100100111001                  6457                           False      0                    130.00              
805                  1100100111100                  6460                           False      0                    130.00              
806                  1100100111110                  6462                           False      0                    130.00              
807                  1100100111111                  6463                           False      0                    130.00              
808                  1100110000000                  6528                           False      0                    130.00              
809                  1100110000001                  6529                           True       3                    130.00              
810                  1100110000100                  6532                           False      0                    130.00              
811                  1100110000110                  6534                           False      2                    130.00              
812                  1100110000111                  6535                           False      0                    130.00              
813                  1100110010000                  6544                           False      0                    130.00              
814                  1100110010010                  6546                           False      0                    130.00              
815                  1100110010011                  6547                           True       1                    130.00              
816                  1100110011000                  6552                           False      0                    130.00              
817                  1100110011001                  6553                           True       1                    130.00              
818                  1100110011100                  6556                           False      0                    130.00              
819                  1100110011110                  6558                           False      0                    130.00              
820                  1100110011111                  6559                           False      0                    130.00              
821                  1100111000000                  6592                           False      2                    130.00              
822                  1100111000010                  6594                           False      0                    130.00              
823                  1100111000011                  6595                           False      2                    130.00              
824                  1100111001000                  6600                           False      0                    130.00              
825                  1100111001001                  6601                           False      0                    130.00              
826                  1100111001100                  6604                           False      0                    130.00              
827                  1100111001110                  6606                           False      2                    130.00              
828                  1100111001111                  6607                           True       1                    130.00              
829                  1100111100000                  6624                           False      2                    130.00              
830                  1100111100001                  6625                           False      0                    130.00              
831                  1100111100100                  6628                           False      0                    130.00              
832                  1100111100110                  6630                           False      0                    130.00              
833                  1100111100111                  6631                           False      0                    130.00              
834                  1100111110000                  6640                           False      0                    130.00              
835                  1100111110010                  6642                           False      0                    130.00              
836                  1100111110011                  6643                           False      0                    130.00              
837                  1100111111000                  6648                           False      0                    130.00              
838                  1100111111001                  6649                           False      0                    130.00              
839                  1100111111100                  6652                           False      2                    130.00              
840                  1100111111110                  6654                           False      0                    130.00              
841                  1100111111111                  6655                           False      0                    130.00              
842                  1110000000000                  7168                           False      0                    130.00              
843                  1110000000010                  7170                           False      0                    130.00              
844                  1110000000011                  7171                           False      0                    130.00              
845                  1110000001000                  7176                           False      0                    130.00              
846                  1110000001001                  7177                           True       1                    130.00              
847                  1110000001100                  7180                           False      0                    130.00              
848                  1110000001110                  7182                           False      0                    130.00              
849                  1110000001111                  7183                           False      0                    130.00              
850                  1110000100000                  7200                           False      0                    130.00              
851                  1110000100001                  7201                           False      0                    130.00              
852                  1110000100100                  7204                           False      0                    130.00              
853                  1110000100110                  7206                           False      2                    130.00              
854                  1110000100111                  7207                           True       1                    130.00              
855                  1110000110000                  7216                           False      0                    130.00              
856                  1110000110010                  7218                           False      0                    130.00              
857                  1110000110011                  7219                           True       3                    130.00              
858                  1110000111000                  7224                           False      0                    130.00              
859                  1110000111001                  7225                           False      2                    130.00              
860                  1110000111100                  7228                           False      0                    130.00              
861                  1110000111110                  7230                           False      0                    130.00              
862                  1110000111111                  7231                           False      0                    130.00              
863                  1110010000000                  7296                           False      2                    130.00              
864                  1110010000001                  7297                           True       1                    130.00              
865                  1110010000100                  7300                           False      0                    130.00              
866                  1110010000110                  7302                           False      0                    130.00              
867                  1110010000111                  7303                           False      0                    130.00              
868                  1110010010000                  7312                           False      0                    130.00              
869                  1110010010010                  7314                           False      0                    130.00              
870                  1110010010011                  7315                           False      0                    130.00              
871                  1110010011000                  7320                           False      0                    130.00              
872                  1110010011001                  7321                           True       1                    130.00              
873                  1110010011100                  7324                           False      0                    130.00              
874                  1110010011110                  7326                           False      0                    130.00              
875                  1110010011111                  7327                           False      0                    130.00              
876                  1110011000000                  7360                           False      0                    130.00              
877                  1110011000010                  7362                           False      2                    130.00              
878                  1110011000011                  7363                           False      0                    130.00              
879                  1110011001000                  7368                           False      0                    130.00              
880                  1110011001001                  7369                           True       1                    130.00              
881                  1110011001100                  7372                           False      2                    130.00              
882                  1110011001110                  7374                           False      0                    130.00              
883                  1110011001111                  7375                           False      2                    130.00              
884                  1110011100000                  7392                           False      0                    130.00              
885                  1110011100001                  7393                           True       1                    130.00              
886                  1110011100100                  7396                           False      0                    130.00              
887                  1110011100110                  7398                           False      2                    130.00              
888                  1110011100111                  7399                           False      0                    130.00              
889                  1110011110000                  7408                           False      0                    130.00              
890                  1110011110010                  7410                           False      0                    130.00              
891                  1110011110011                  7411                           True       1                    130.00              
892                  1110011111000                  7416                           False      0                    130.00              
893                  1110011111001                  7417                           True       1                    130.00              
894                  1110011111100                  7420                           False      0                    130.00              
895                  1110011111110                  7422                           False      0                    130.00              
896                  1110011111111                  7423                           False      0                    130.00              
897                  1111000000000                  7680                           False      0                    130.00              
898                  1111000000001                  7681                           True       1                    130.00              
899                  1111000000100                  7684                           False      0                    130.00              
900                  1111000000110                  7686                           False      0                    130.00              
901                  1111000000111                  7687                           True       1                    130.00              
902                  1111000010000                  7696                           False      0                    130.00              
903                  1111000010010                  7698                           False      0                    130.00              
904                  1111000010011                  7699                           True       1                    130.00              
905                  1111000011000                  7704                           False      0                    130.00              
906                  1111000011001                  7705                           False      0                    130.00              
907                  1111000011100                  7708                           False      2                    130.00              
908                  1111000011110                  7710                           False      0                    130.00              
909                  1111000011111                  7711                           False      0                    130.00              
910                  1111001000000                  7744                           False      0                    130.00              
911                  1111001000010                  7746                           False      2                    130.00              
912                  1111001000011                  7747                           False      0                    130.00              
913                  1111001001000                  7752                           False      0                    130.00              
914                  1111001001001                  7753                           True       1                    130.00              
915                  1111001001100                  7756                           False      0                    130.00              
916                  1111001001110                  7758                           False      0                    130.00              
917                  1111001001111                  7759                           True       1                    130.00              
918                  1111001100000                  7776                           False      0                    130.00              
919                  1111001100001                  7777                           False      2                    130.00              
920                  1111001100100                  7780                           False      0                    130.00              
921                  1111001100110                  7782                           False      0                    130.00              
922                  1111001100111                  7783                           False      0                    130.00              
923                  1111001110000                  7792                           False      0                    130.00              
924                  1111001110010                  7794                           False      0                    130.00              
925                  1111001110011                  7795                           False      0                    130.00              
926                  1111001111000                  7800                           False      0                    130.00              
927                  1111001111001                  7801                           False      0                    130.00              
928                  1111001111100                  7804                           False      0                    130.00              
929                  1111001111110                  7806                           False      2                    130.00              
930                  1111001111111                  7807                           False      0                    130.00              
931                  1111100000000                  7936                           False      0                    130.00              
932                  1111100000010                  7938                           False      0                    130.00              
933                  1111100000011                  7939                           False      0                    130.00              
934                  1111100001000                  7944                           False      0                    130.00              
935                  1111100001001                  7945                           False      0                    130.00              
936                  1111100001100                  7948                           False      0                    130.00              
937                  1111100001110                  7950                           False      2                    130.00              
938                  1111100001111                  7951                           True       1                    130.00              
939                  1111100100000                  7968                           False      0                    130.00              
940                  1111100100001                  7969                           False      0                    130.00              
941                  1111100100100                  7972                           False      2                    130.00              
942                  1111100100110                  7974                           False      0                    130.00              
943                  1111100100111                  7975                           False      0                    130.00              
944                  1111100110000                  7984                           False      0                    130.00              
945                  1111100110010                  7986                           False      0                    130.00              
946                  1111100110011                  7987                           False      0                    130.00              
947                  1111100111000                  7992                           False      2                    130.00              
948                  1111100111001                  7993                           True       1                    130.00              
949                  1111100111100                  7996                           False      0                    130.00              
950                  1111100111110                  7998                           False      0                    130.00              
951                  1111100111111                  7999                           False      0                    130.00              
952                  1111110000000                  8064                           False      0                    130.00              
953                  1111110000001                  8065                           False      2                    130.00              
954                  1111110000100                  8068                           False      0                    130.00              
955                  1111110000110                  8070                           False      0                    130.00              
956                  1111110000111                  8071                           False      0                    130.00              
957                  1111110010000                  8080                           False      0                    130.00              
958                  1111110010010                  8082                           False      0                    130.00              
959                  1111110010011                  8083                           False      0                    130.00              
960                  1111110011000                  8088                           False      0                    130.00              
961                  1111110011001                  8089                           True       1                    130.00              
962                  1111110011100                  8092                           False      0                    130.00              
963                  1111110011110                  8094                           False      0                    130.00              
964                  1111110011111                  8095                           False      0                    130.00              
965                  1111111000000                  8128                           False      0                    130.00              
966                  1111111000010                  8130                           False      0                    130.00              
967                  1111111000011                  8131                           False      2                    130.00              
968                  1111111001000                  8136                           False      0                    130.00              
969                  1111111001001                  8137                           False      0                    130.00              
970                  1111111001100                  8140                           False      0                    130.00              
971                  1111111001110                  8142                           False      2                    130.00              
972                  1111111001111                  8143                           False      0                    130.00              
973                  1111111100000                  8160                           False      0                    130.00              
974                  1111111100001                  8161                           True       1                    130.00              
975                  1111111100100                  8164                           False      0                    130.00              
976                  1111111100110                  8166                           False      0                    130.00              
977                  1111111100111                  8167                           True       3                    130.00              
978                  1111111110000                  8176                           False      0                    130.00              
979                  1111111110010                  8178                           False      0                    130.00              
980                  1111111110011                  8179                           True       1                    130.00              
981                  1111111111000                  8184                           False      0                    130.00              
982                  1111111111001                  8185                           False      0                    130.00              
983                  1111111111100                  8188                           False      2                    130.00              
984                  1111111111110                  8190                           False      0                    130.00              
985                  1111111111111                  8191                           True       1                    130.00              
986                  10000000000000                 8192                           False      0                    140.00              
987                  10000000000001                 8193                           False      0                    140.00              
988                  10000000000100                 8196                           False      0                    140.00              
989                  10000000000110                 8198                           False      0                    140.00              
990                  10000000000111                 8199                           False      0                    140.00              
991                  10000000010000                 8208                           False      2                    140.00              
992                  10000000010010                 8210                           False      0                    140.00              
993                  10000000010011                 8211                           False      0                    140.00              
994                  10000000011000                 8216                           False      0                    140.00              
995                  10000000011001                 8217                           False      0                    140.00              
996                  10000000011100                 8220                           False      0                    140.00              
997                  10000000011110                 8222                           False      2                    140.00              
998                  10000000011111                 8223                           False      0                    140.00              
999                  10000001000000                 8256                           False      0                    140.00              
1000                 10000001000010                 8258                           False      0                    140.00              

Prime Density:
Original:                          16.80%
Interpret base-phi rep as binary:   9.40%

Prime Comparison Key:
3: Both Original and Binary Interpretations are Prime
2: Original is Prime, Binary Interpretation is Not
1: Binary Interpretation is Prime, Original is Not
0: Neither Original nor Binary Interpretation is Prime


